=== EQUIPEMENTS RESEAU ===

NOM                IP              MAC                  INVENTAIRE
---------------------------------------------------------------------------
srv-web-01         192.168.1.1     00:1A:2B:3C:4D:01    INV-SRV-001
srv-db-01          192.168.1.2     00:1A:2B:3C:4D:02    INV-SRV-002
srv-mail-01        192.168.1.3     00:1A:2B:3C:4D:03    INV-SRV-003
router-core        192.168.1.10    00:1A:2B:3C:4D:10    INV-RTR-001
switch-dist-01     192.168.1.11    00:1A:2B:3C:4D:11    INV-SWT-001
switch-access-01   192.168.1.12    00:1A:2B:3C:4D:12    INV-SWT-002
fw-ext-01          192.168.1.20    00:1A:2B:3C:4D:20    INV-FW-001
pc-admin-01        192.168.2.1     00:1A:2B:3C:5D:01    INV-PC-001
pc-compta-01       192.168.2.2     00:1A:2B:3C:5D:02    INV-PC-002
pc-rh-01           192.168.2.3     00:1A:2B:3C:5D:03    INV-PC-003
printer-rdc        192.168.3.1     00:1A:2B:3C:6D:01    INV-PRT-001
printer-etage1     192.168.3.2     00:1A:2B:3C:6D:02    INV-PRT-002
ap-wifi-01         192.168.4.1     00:1A:2B:3C:7D:01    INV-AP-001
ap-wifi-02         192.168.4.2     00:1A:2B:3C:7D:02    INV-AP-002
nas-backup         192.168.5.1     00:1A:2B:3C:8D:01    INV-NAS-001
